[2018-02-09T13:53:41.639] [INFO] BlockPoc - register an api:/putChainMsg
[2018-02-09T13:53:41.666] [INFO] BlockPoc - register an api:/replyMsg
[2018-02-09T13:53:41.679] [INFO] BlockPoc - Server init success.Start running ...
[2018-02-09T13:53:41.690] [ERROR] BlockPoc - uncaught exception: ReferenceError: ServerConfig is not defined
    at runServer (/Users/apple/program/poc_2018_02/app.js:42:59)
    at /Users/apple/program/poc_2018_02/app.js:87:5
    at /Users/apple/program/poc_2018_02/app.js:23:16
    at /Users/apple/program/poc_2018_02/node_modules/async/dist/async.js:3874:9
    at /Users/apple/program/poc_2018_02/node_modules/async/dist/async.js:473:16
    at replenish (/Users/apple/program/poc_2018_02/node_modules/async/dist/async.js:993:25)
    at iterateeCallback (/Users/apple/program/poc_2018_02/node_modules/async/dist/async.js:983:17)
    at /Users/apple/program/poc_2018_02/node_modules/async/dist/async.js:958:16
    at /Users/apple/program/poc_2018_02/node_modules/async/dist/async.js:3871:13
    at /Users/apple/program/poc_2018_02/app.js:16:13
[2018-02-09T13:53:41.834] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.834] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.835] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.835] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.836] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.837] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.837] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.838] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.838] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.839] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.839] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.840] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.840] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.841] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.842] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.842] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.843] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.843] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.844] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.844] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.852] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.853] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.854] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.854] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.855] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.856] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.857] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.857] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.858] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.858] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.859] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.860] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.861] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.862] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.863] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.863] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.864] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.864] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.865] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.866] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.867] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.869] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.869] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.870] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.870] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.871] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.871] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.872] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.872] [INFO] BlockPoc - 退出前处理 0 undefined
[2018-02-09T13:53:41.873] [INFO] BlockPoc - 退出前处理 0 undefined
